Model,Accuracy,Precision,Recall,ROC,Log Loss,Topsis Score,Rank
Logistic Regression,0.6071871127633209,0.6270270270270271,0.5644768856447688,0.6079960185799602,14.15841155433722,0.006,5
Naive Bayes,0.6121437422552665,0.6353591160220995,0.559610705596107,0.613138686131387,13.97975651895126,0.018,4
KNN,0.7571251548946716,0.824773413897281,0.6642335766423357,0.7588844650888447,8.754096733911974,0.522,3
Decision Tree,0.8909541511771994,0.9627507163323782,0.8175182481751825,0.8923449826734497,3.9304107784910896,0.985,1
Random Forest,0.8760842627013631,0.9784615384615384,0.7737226277372263,0.8780229300302294,4.466375884648966,0.932,2
